tractkids,pop2010,percent_of_kids,povertyrate,,,,,POP2010,"Population, tract total"
NULL,4797,NULL,9.1,,,,,,
NULL,5451,NULL,7,,,,,,
NULL,4651,NULL,3.7,,,,,,
NULL,4832,NULL,7.4,,,,,,
NULL,4390,NULL,11.9,,,,,,
NULL,4019,NULL,11.2,,,,,,
NULL,3553,NULL,6.1,,,,,,
NULL,4355,NULL,7.7,,,,,,
NULL,6722,NULL,4.6,,,,,,
NULL,4854,NULL,1.5,,,,,,
NULL,6577,NULL,13,,,,,,
NULL,4161,NULL,14.3,,,,,,
NULL,5152,NULL,3.4,,,,,,
NULL,3439,NULL,5.2,,,,,,
NULL,4706,NULL,9.9,,,,,,
NULL,6603,NULL,3.2,,,,,,
NULL,3341,NULL,25.4,,,,,,
NULL,3982,NULL,12.3,,,,,,
NULL,3713,NULL,7.2,,,,,,
NULL,2616,NULL,4.6,,,,,,
NULL,3122,NULL,9.6,,,,,,
NULL,4294,NULL,15.4,,,,,,
NULL,2878,NULL,9.4,,,,,,
NULL,5370,NULL,6.3,,,,,,
NULL,3221,NULL,7.3,,,,,,
NULL,6605,NULL,22.5,,,,,,
NULL,2728,NULL,10.7,,,,,,
NULL,3320,NULL,21.1,,,,,,
NULL,7547,NULL,13.1,,,,,,
NULL,6065,NULL,10.5,,,,,,
NULL,6438,NULL,21.5,,,,,,
NULL,7783,NULL,13.8,,,,,,
NULL,1461,NULL,10.6,,,,,,
NULL,2211,NULL,0,,,,,,
NULL,5591,NULL,15.8,,,,,,
NULL,4336,NULL,13.7,,,,,,
NULL,3798,NULL,11.1,,,,,,
NULL,2393,NULL,13.2,,,,,,
NULL,4573,NULL,10.1,,,,,,
NULL,6519,NULL,25.2,,,,,,
NULL,4306,NULL,16.5,,,,,,
NULL,3806,NULL,12.6,,,,,,
NULL,3886,NULL,26.4,,,,,,
NULL,4558,NULL,9.4,,,,,,
NULL,2528,NULL,9.5,,,,,,
NULL,2556,NULL,7.5,,,,,,
NULL,2331,NULL,35.2,,,,,,
NULL,6648,NULL,19.9,,,,,,
NULL,2518,NULL,22.2,,,,,,
NULL,3048,NULL,34.5,,,,,,
NULL,4205,NULL,11.4,,,,,,
NULL,2815,NULL,20.3,,,,,,
NULL,2918,NULL,16.9,,,,,,
NULL,3639,NULL,14.9,,,,,,
NULL,3484,NULL,26.9,,,,,,
NULL,4915,NULL,5.1,,,,,,
NULL,2524,NULL,14.1,,,,,,
NULL,3302,NULL,21.8,,,,,,
NULL,3589,NULL,36,,,,,,
NULL,3240,NULL,15.2,,,,,,
NULL,3355,NULL,19.3,,,,,,
NULL,3000,NULL,18.6,,,,,,
NULL,7128,NULL,11.1,,,,,,
NULL,5097,NULL,27.5,,,,,,
NULL,3450,NULL,27.2,,,,,,
NULL,5871,NULL,15.6,,,,,,
NULL,2334,NULL,18.1,,,,,,
NULL,1630,NULL,14.4,,,,,,
NULL,9325,NULL,9.5,,,,,,
NULL,8271,NULL,12.6,,,,,,
NULL,8429,NULL,9.1,,,,,,
NULL,6427,NULL,6.6,,,,,,
NULL,8104,NULL,10.2,,,,,,
NULL,3754,NULL,5.9,,,,,,
NULL,4537,NULL,13.1,,,,,,
NULL,4888,NULL,29.5,,,,,,
NULL,4131,NULL,11.2,,,,,,
NULL,2958,NULL,28.2,,,,,,
NULL,5111,NULL,6.4,,,,,,
NULL,5677,NULL,9,,,,,,
NULL,5935,NULL,5.7,,,,,,
NULL,5991,NULL,8.2,,,,,,
NULL,6485,NULL,2.6,,,,,,
NULL,8166,NULL,4.7,,,,,,
NULL,3996,NULL,3.3,,,,,,
NULL,6727,NULL,4.1,,,,,,
NULL,7246,NULL,7.8,,,,,,
NULL,4018,NULL,10.7,,,,,,
NULL,3520,NULL,14,,,,,,
NULL,4296,NULL,22.8,,,,,,
NULL,2752,NULL,15.5,,,,,,
NULL,6259,NULL,13.4,,,,,,
NULL,3732,NULL,10.7,,,,,,
NULL,4689,NULL,15.1,,,,,,
NULL,7106,NULL,14.2,,,,,,
NULL,3085,NULL,7.3,,,,,,
NULL,4395,NULL,5.2,,,,,,
NULL,3979,NULL,19.2,,,,,,
NULL,4176,NULL,20.1,,,,,,
NULL,4204,NULL,22.8,,,,,,
NULL,7862,NULL,9.4,,,,,,
NULL,7093,NULL,23,,,,,,
NULL,3510,NULL,13.4,,,,,,
NULL,2447,NULL,26.4,,,,,,
NULL,2674,NULL,14.3,,,,,,
NULL,4679,NULL,15,,,,,,
NULL,2411,NULL,13,,,,,,
NULL,3839,NULL,16.5,,,,,,
NULL,3454,NULL,9.3,,,,,,
NULL,5245,NULL,5.4,,,,,,
NULL,7141,NULL,15.6,,,,,,
NULL,3917,NULL,11.6,,,,,,
NULL,4763,NULL,6.3,,,,,,
NULL,2188,NULL,26.9,,,,,,
NULL,6480,NULL,50.1,,,,,,
NULL,2873,NULL,90.5,,,,,,
NULL,2434,NULL,16.5,,,,,,
NULL,4122,NULL,14.3,,,,,,
NULL,3361,NULL,11.1,,,,,,
NULL,4172,NULL,14.3,,,,,,
NULL,4764,NULL,9.5,,,,,,
NULL,1707,NULL,20.2,,,,,,
NULL,1775,NULL,9.1,,,,,,
NULL,4404,NULL,10,,,,,,
NULL,4393,NULL,18.1,,,,,,
NULL,3412,NULL,11.4,,,,,,
NULL,2488,NULL,8.2,,,,,,
NULL,2072,NULL,12.8,,,,,,
NULL,1913,NULL,11.8,,,,,,
NULL,2011,NULL,14.7,,,,,,
NULL,5837,NULL,8.3,,,,,,
NULL,2759,NULL,16.5,,,,,,
NULL,3779,NULL,9.4,,,,,,
NULL,4077,NULL,12.1,,,,,,
NULL,4230,NULL,15.8,,,,,,
NULL,3805,NULL,10.6,,,,,,
NULL,3296,NULL,27.5,,,,,,
NULL,2666,NULL,20.5,,,,,,
NULL,7225,NULL,11.9,,,,,,
NULL,4982,NULL,13.8,,,,,,
NULL,4104,NULL,11.3,,,,,,
NULL,2642,NULL,42.5,,,,,,
NULL,4453,NULL,60.2,,,,,,
NULL,2165,NULL,20.3,,,,,,
NULL,1977,NULL,13.7,,,,,,
NULL,4170,NULL,24.1,,,,,,
NULL,2975,NULL,28.3,,,,,,
NULL,1474,NULL,20,,,,,,
NULL,3376,NULL,22.1,,,,,,
NULL,2592,NULL,7.6,,,,,,
